County,FIPS,Week_1,Week_2,Week_3,Week-4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,,
King,53033,3.63,3.65,3.66,3.67,3.66,3.67,3.55,3.38,2,0.18,0.64,1.25,1.98,1
Jefferson,53031,3.17,3.31,3.65,3.33,3.16,3.44,3.32,3.19,2.54,0.18,0.66,1.58,2.21,3
Ferry,53019,2.58,2.67,2.89,3.15,2.86,3.03,3.03,2.88,2.66,0.75,1.18,1.89,2.2,5
Whitman,53075,3.13,3.23,3.1,3.13,3.06,3.08,3.03,3.21,2.56,0.22,0.92,2.12,2.34,7
Garfield,53023,2.39,2.7,3.54,3.09,3.15,2.97,2.97,2.73,2.63,1.46,1.69,2.17,2.83,9
Kitsap,53035,3.59,3.65,3.4,3.67,3.62,3.68,3.67,3.58,2.76,0.24,0.75,2.18,2.81,11
Snohomish,53061,3.72,3.74,3.74,3.76,3.74,3.77,3.68,3.59,2.74,0.26,0.78,2.21,2.76,13
Island,53029,3.49,3.56,3.28,3.55,3.52,3.62,3.56,3.38,2.74,0.55,0.77,2.22,2.67,15
San Juan,53055,3.24,3.25,3.2,3.26,3.16,3.18,3.18,3.03,2.68,0.33,0.74,2.23,2.46,17
Thurston,53067,3.66,3.7,3.7,3.7,3.68,3.75,3.7,3.56,2.8,0.16,0.78,2.32,2.82,19
Whatcom,53073,3.55,3.57,3.55,3.58,3.55,3.6,3.57,3.51,2.73,0.18,0.72,2.32,2.87,21
Pend Oreille,53051,3.18,3.48,3.73,3.59,3.52,3.6,3.66,3.44,2.79,0.76,0.78,2.36,2.84,23
Okanogan,53047,2.99,3.25,3.45,3.23,3.2,3.41,3.33,3.12,2.74,1.31,1.44,2.37,2.72,25
Mason,53045,3.62,3.72,3.19,3.76,3.65,3.83,3.79,3.62,2.97,0.65,0.9,2.41,2.8,27
Lincoln,53043,2.95,3.24,3.71,3.5,3.26,3.27,3.35,2.94,2.65,1.26,1.87,2.48,2.73,29
Clallam,53009,3.42,3.46,3.41,3.47,3.41,3.51,3.46,3.43,2.8,0.63,0.91,2.51,2.83,31
Kittitas,53037,3.43,3.43,3.42,3.41,3.32,3.41,3.37,3.33,2.84,0.82,1.41,2.52,2.81,33
Stevens,53065,3.33,3.55,3.46,3.54,3.49,3.68,3.61,3.36,2.87,1.02,1.43,2.58,2.9,35
Columbia,53013,3.06,3.18,3.01,3.09,3.05,3.03,2.87,2.85,2.51,1.13,1.28,2.6,2.79,37
Spokane,53063,3.62,3.65,3.64,3.67,3.64,3.68,3.68,3.52,2.95,0.54,1,2.61,2.92,39
Clark,53011,3.69,3.71,3.72,3.73,3.73,3.75,3.74,3.64,2.91,0.67,0.98,2.62,2.98,41
Skagit,53057,3.6,3.64,3.65,3.66,3.67,3.7,3.68,3.6,2.92,0.71,0.91,2.65,2.9,43
Douglas,53017,3.46,3.5,3.53,3.53,3.52,3.54,3.53,3.49,2.99,1.22,1.61,2.68,3.06,45
Skamania,53059,3.77,3.81,3.81,3.76,3.59,3.9,3.93,3.53,3.05,1.03,1.12,2.7,2.98,47
Chelan,53007,3.4,3.46,3.48,3.51,3.49,3.54,3.53,3.44,2.9,1.07,1.52,2.71,2.83,49
Walla Walla,53071,3.4,3.45,3.42,3.45,3.43,3.46,3.44,3.4,2.91,1.05,1.33,2.71,2.88,51
Grays Harbor,53027,3.51,3.56,3.56,3.59,3.51,3.6,3.58,3.53,2.87,1.01,1.36,2.72,2.9,53
Pacific,53049,3.41,3.43,3.41,3.53,3.51,3.57,3.58,3.48,2.82,0.5,1.06,2.72,2.84,55
Pierce,53053,3.71,3.73,3.73,3.75,3.73,3.78,3.74,3.67,2.97,0.85,1.14,2.72,3.01,57
Wahkiakum,53069,3.23,3.42,3.5,3.38,3.28,3.54,3.54,3.4,2.88,1.38,1.88,2.74,2.98,59
Klickitat,53039,3.24,3.41,3.74,3.43,3.37,3.57,3.48,3.2,2.71,1.09,1.37,2.79,2.9,61
Benton,53005,3.64,3.67,3.66,3.69,3.66,3.72,3.71,3.56,2.99,0.96,1.52,2.8,2.95,63
Asotin,53003,3.47,3.51,3.5,3.52,3.52,3.58,3.55,3.35,3.18,0.95,1.78,2.88,2.98,65
Grant,53025,3.45,3.53,3.57,3.57,3.52,3.6,3.6,3.43,2.95,1.45,1.82,2.89,3.05,67
Cowlitz,53015,3.57,3.58,3.58,3.58,3.57,3.62,3.62,3.56,2.97,1.13,1.67,2.92,3.05,69
Franklin,53021,3.69,3.7,3.04,3.76,3.73,3.77,3.76,3.62,3.12,1.25,1.94,2.96,3.09,71
Lewis,53041,3.66,3.73,3.15,3.74,3.69,3.78,3.76,3.63,3.09,1.17,1.78,2.97,3.15,73
Adams,53001,3.21,3.32,3.3,3.35,3.29,3.37,3.35,3.17,2.83,2.04,2.58,2.99,3.1,75
Yakima,53077,3.64,3.67,3.68,3.69,3.65,3.71,3.71,3.56,3.14,1.63,2.23,3.06,3.21,77